3.3Abarji, Snejana 3 RATINGS
N/ADaamait, Goyyakka 0 RATINGS
3.5Dabbert, James 1 RATINGS
5.0Datta-barua, Seebany 1 RATINGS
3.9Davids, Carol 7 RATINGS
3.3Davis, Michael 6 RATINGS
4.3Davis, Blake 9 RATINGS
N/ADavis, Michael 0 RATINGS
1.0de Ojeda, William 2 RATINGS
2.0Deforest, Paul 1 RATINGS
4.0Deis, Christopher 1 RATINGS
2.7Deis, Christopher 3 RATINGS
N/ADemirdoven , Julide 0 RATINGS
1.1Derwent, Jennifer 4 RATINGS
3.0Desantiago, Eduardo 2 RATINGS
4.2Dhar, Promila 9 RATINGS
3.0Ding, Yuhan 1 RATINGS
2.8Dix, Rollin 5 RATINGS
5.0Dorr, John 2 RATINGS
1.9DU, Lili 3 RATINGS
3.8Duan, Jinqiao 3 RATINGS
3.4Durango-Cohen, E 5 RATINGS
2.5Durbrow, John 1 RATINGS
3.3Dushay, Mitch 2 RATINGS
5.0Easton, Amanda 6 RATINGS
3.6Edelstein, Warren 35 RATINGS
5.0Edirisinghe, Indika 3 RATINGS
2.1El Rouayheb, Salim 4 RATINGS
4.3El-Maazawi, Mohamed 40 RATINGS
4.5Ellington, J. Kemp 7 RATINGS
3.7Ellis, Robert 9 RATINGS
N/AElmer, Margaret 0 RATINGS
4.0Elrad, Tzilla 1 RATINGS
2.9Emadi, Ali 13 RATINGS
3.1Emmick, Will 8 RATINGS
3.3Erdim, Frat 2 RATINGS
4.1Erickson, John 12 RATINGS
2.6Faggette, Paul 9 RATINGS
4.8Fasshauer, Greg 2 RATINGS
3.0Feinberg, Susan 1 RATINGS
3.5Feng, Hualong 12 RATINGS
2.7Ferguson, Dan 5 RATINGS
4.5Fields, Melanie 1 RATINGS
1.4Finney, William 13 RATINGS
4.2Fisher, Thomas 5 RATINGS
5.0Fitzgerald, Qiang 1 RATINGS
4.1Flatte, Charlotte 7 RATINGS
1.5Flavell, Allen 2 RATINGS
4.6Fleener, David 4 RATINGS
4.5Fliss, Marta 4 RATINGS
2.0Flohr, Julie 4 RATINGS
2.8Flueck, Alexander 28 RATINGS
3.0Flury, Frank 2 RATINGS
4.0Fogel, Daniel 1 RATINGS
4.5Fogel, Brandon 6 RATINGS
4.0Footlik, Robert 1 RATINGS
3.8Forneris, Craig 2 RATINGS
2.1Frank, Maurice 6 RATINGS
4.0Frieder, Ophir 1 RATINGS
3.1Friedman, Elizabeth 5 RATINGS
2.5Friedman, Alon 2 RATINGS
4.9Fulkerson-Smith, Brett 4 RATINGS
4.8Gatchell, David 4 RATINGS
4.5Gehrs, G 5 RATINGS
2.5Gentry, Thomas 2 RATINGS
N/AGeorgiadis, John 0 RATINGS
2.5Gidalevitz, David 11 RATINGS
2.0Gill, Safdar 2 RATINGS
2.6Ginsburg, Issac 14 RATINGS
5.0Girman, Chris 1 RATINGS
3.0Glassman, Ellen 3 RATINGS
4.7Glavic, Boris 4 RATINGS
3.5Glodowski, Alan 17 RATINGS
N/AGofstein, Susan 0 RATINGS
4.0Goharian, Nazli 13 RATINGS
4.8Goins, Bonnie 2 RATINGS
3.0Gong, Ruoting 1 RATINGS
4.5Gopal, Gurram 1 RATINGS
3.1Gordon, Paul 20 RATINGS
3.9Gordon, Ruthanna 7 RATINGS
3.5Gore, David 1 RATINGS
4.4Gorham, Aja 4 RATINGS
5.0Gorham, Michael 1 RATINGS
4.3Gosz, Michael 6 RATINGS
4.6Green, Keith 26 RATINGS
2.8Greenberg, Lee Edward 2 RATINGS
N/AGreenhouse, Ted 0 RATINGS
4.1Grimshaw, William 13 RATINGS
3.5Grossman, David 6 RATINGS
4.5Gurbani, Vijay 7 RATINGS
N/AHaddadian, Ghazale 0 RATINGS
2.8Haedt-Matt, Alissa 8 RATINGS
4.2Haferkamp, Bonnie 3 RATINGS
4.5Haines, Paul 2 RATINGS
N/AHaines, Phil 0 RATINGS
3.0Hajek, Jeremy 14 RATINGS
5.0Hale, Kyle 4 RATINGS
1.9Hall, Connie 6 RATINGS
4.7Hall, Carrie 5 RATINGS
4.0Hamill, Nancy 1 RATINGS
N/AHamill-Governale, Nancy 0 RATINGS
2.3Hanlet, P 22 RATINGS
N/AHannigan, Carrie 0 RATINGS
4.6Hanrath, Jon 66 RATINGS
1.6Hao, Zhipeng 4 RATINGS
4.4Haque, Aamer 15 RATINGS
3.5Harrington, Kevin 8 RATINGS
1.0Hatziavramidis, Dimitri 1 RATINGS
2.0Hawkins, Witt 1 RATINGS
5.0Hazard, Erin 1 RATINGS
4.0Hazen, Timothy 1 RATINGS
4.5Hazzard, Erin 3 RATINGS
4.0Heffron, Anthony 2 RATINGS
4.3Hemphill, Libby 2 RATINGS
4.8Hendry, Robert 9 RATINGS
4.2Hickernell, F 3 RATINGS
4.5Hicks, Roger 4 RATINGS
4.3Hicks, Marie 15 RATINGS
5.0Hield, Christopher 4 RATINGS
N/AHildt, Elisabeth 0 RATINGS
2.0Hock, Adam 1 RATINGS
4.8Hogan, Thor 4 RATINGS
2.0Holmgren, Neil 1 RATINGS
2.1Hood, Cynthia 17 RATINGS
N/AHood, Dennis 0 RATINGS
2.4Hood, Dennis 12 RATINGS
2.0Hopkins, Joyce 1 RATINGS
4.8Hosman, Laura 2 RATINGS
3.3Houston, Eric 3 RATINGS
4.9Howard, Elizabeth 4 RATINGS
1.8Howard, Andrew 17 RATINGS
2.3Huang, Peisong 2 RATINGS
3.0Huang, Hao 2 RATINGS
4.3Hudgens, Mary 6 RATINGS
3.5Humer, Colleen 9 RATINGS
4.3Hunter, Robert 9 RATINGS
N/AHurst, Cedric 0 RATINGS
2.7Huyck, Margaret 9 RATINGS
4.4Ireland, Patrick 5 RATINGS
3.0Irving, Thomas 14 RATINGS
4.3Ivanov, Kamen 5 RATINGS
3.8Iverson, Margot 3 RATINGS
3.4Jachimiec, Nathan 11 RATINGS
4.8Jack, Cappozzo 3 RATINGS
4.0Jankovski, Aleksandar 1 RATINGS
5.0Jin, Kevin 3 RATINGS
1.9Johnson, Peter 37 RATINGS
2.8Johnson, Porter 7 RATINGS
3.4Johnson, Leslie 5 RATINGS
5.0Johnson, Thomas 1 RATINGS
3.7Juarez, Oscar 7 RATINGS
4.3Kallend, John 40 RATINGS
N/AKandemir, Emre 0 RATINGS
5.0Kandemir, Emre 1 RATINGS
2.9Kang, Lulu 6 RATINGS
2.2Kang-Mieler, Jennifer 5 RATINGS
1.9Kaplan, Daniel 19 RATINGS
2.2Kapoor, Sanjiv 19 RATINGS
4.4Karuri, Nancy 4 RATINGS
4.2Kaul, Hemanshu 3 RATINGS
N/AKeeley, Larry 0 RATINGS
4.5Keles, Ozgur 2 RATINGS
N/AKhaligh, Alireza 0 RATINGS
2.9Khan, Md Ishaque 9 RATINGS
N/AKhanafseh, Samer 0 RATINGS
3.6Khelashvili, Gocha 15 RATINGS
N/AKhokhar, Ashfaq 0 RATINGS
N/AKhudeira, Soliman 0 RATINGS
3.0Kibler, Stephen 3 RATINGS
2.5Killer, Sean 1 RATINGS
2.3Kim, Joohee 3 RATINGS
4.5Kimont, Jeffrey 3 RATINGS
4.8Kintigh, Richard 3 RATINGS
2.8Klaeschen, Martin 3 RATINGS
4.8Klymson, Jeffery 2 RATINGS
3.0Kocurek, Carly 4 RATINGS
3.0Korah, John 1 RATINGS
2.5Koutsogiannakis, George 57 RATINGS
3.9Kowalczyk, Lukasz 5 RATINGS
4.1Kramer, Alexis 4 RATINGS
5.0Krawczyk, Robert 1 RATINGS
5.0Krieglstein, Daniel 1 RATINGS
4.5Kriegshauser, John 16 RATINGS
4.7Krikorian, Charles 7 RATINGS
5.0Krishnamurthy, Kathiravan 1 RATINGS
3.4Krishnamurthy, Mahesh 4 RATINGS
1.3Kulp, Jesse 2 RATINGS
3.7Kuprys, Rima 3 RATINGS
3.8Ladenson, Robert 2 RATINGS
3.3Ladeson, Robert 3 RATINGS
N/ALahey, Gary 0 RATINGS
5.0Lam, Christopher 4 RATINGS
4.5Lan, Zhiling 4 RATINGS
3.9Lane, Frank 4 RATINGS
4.3Laurent Meuhleisen, Sally 23 RATINGS
5.0Lauritsen, Matthew 4 RATINGS
N/ALawrence, Halcyon 0 RATINGS
5.0Le Bihan, Soazig 1 RATINGS
3.5Lederman, Judy 1 RATINGS
4.3Lee, Michael 49 RATINGS
4.0Lee, Eun-Jeong 2 RATINGS
4.8Legate, Nicole 5 RATINGS
2.0Leight, Katherine 1 RATINGS
3.8Lemming, Raymond 3 RATINGS
2.6Leung, Francis 15 RATINGS
1.0Leung, Wu-Hon 1 RATINGS
N/ALewis, Philip 0 RATINGS
4.3Lezotte, Dan 2 RATINGS
4.1Li, Xiaofan 6 RATINGS
3.8Li, Xiangyang 6 RATINGS
4.0Li, Shuwang 8 RATINGS
4.5LI, Zuyi 2 RATINGS
N/ALi, Zongzhi 0 RATINGS
2.6Lidinsky, Bill 5 RATINGS
3.3Lisowski, Ronald 5 RATINGS
3.0Littlejohn, Bryce 1 RATINGS
4.2Locicero, Joe 11 RATINGS
N/ALonginow, Anatol 0 RATINGS
2.1Longworth, James 9 RATINGS
3.0Lubin, Arthur 38 RATINGS
N/ALyke, Sheldon 0 RATINGS
2.0Lykos, Peter 2 RATINGS
5.0Lynerd, Benjamin 2 RATINGS
4.5Lyons, Elizabeth 2 RATINGS
5.0Mackiewicz, Jo 2 RATINGS
3.1Mandal, Braja 27 RATINGS
2.0Manov, Alexander 3 RATINGS
4.0Mansury, Yuri 1 RATINGS
2.8Mansy, Hansen 5 RATINGS
2.5Mariusz Nieweglowski, Mariusz 2 RATINGS
3.5Martin, Val 2 RATINGS
4.0Maslanka, David 38 RATINGS
3.2Matveeva, Irina 10 RATINGS
N/AMaughan, Linsey 0 RATINGS
3.5McClain, Noah 4 RATINGS
3.7McCormick, David 6 RATINGS
1.7McCray, Patrick 29 RATINGS
4.8McHugh, Louis 2 RATINGS
3.6Mead, Alan 8 RATINGS
3.3Meade, Kevin 18 RATINGS
4.9Mehdi, Mohamed 8 RATINGS
N/AMehta, Rajendra 0 RATINGS
N/AMenches, Cindy 0 RATINGS
3.3Menhart, Nick 31 RATINGS
4.6Merdan, Huseyin 10 RATINGS
3.3Mies van der Rohe, Ludwig 7 RATINGS
4.8Miller, Jennifer 2 RATINGS
3.7Mills, Jeffrey 10 RATINGS
2.3Minh, David 2 RATINGS
3.8Miranda, Jesus 24 RATINGS
4.5Miranda, Jesus 6 RATINGS
4.5Misa, Tom 5 RATINGS
4.0Misa, Thomas 1 RATINGS
5.0Mitillos, Christodoulos 2 RATINGS
2.8Modares, Mehdi 9 RATINGS
4.5Mogul, David 4 RATINGS
3.6Mohammadi, Jamshid 4 RATINGS
4.0Moller, Arlen 5 RATINGS
N/AMonnier, Bruno 0 RATINGS
2.0Moran, Daniel J. 1 RATINGS
4.7Moreno, Teresa 3 RATINGS
2.5Morrison, Timothy 27 RATINGS
N/AMoschandreas, Demetrios 0 RATINGS
N/AMoshiri, Ali 0 RATINGS
2.8Mostovoy, Sheldon 14 RATINGS
4.5Moulos, Kimberly 1 RATINGS
4.7Mueller, Bruce 4 RATINGS
1.7Mueller, Daniel 5 RATINGS
5.0Murad, Sohail 1 RATINGS
4.3Musial, Paul 20 RATINGS
1.0Mutis, Ivan 1 RATINGS
1.8Naghshineh, Majid 2 RATINGS
3.2Nagib, Hasan 5 RATINGS
2.9Nair, Sudhakar 13 RATINGS
3.1Nash, Philip 4 RATINGS
2.0Nelson, Rick 1 RATINGS
2.5Nesch, Ivan 1 RATINGS
4.0Newman, Michael 1 RATINGS
3.5Nguyen, Diep 4 RATINGS
3.8Nicholson, Benjamin 6 RATINGS
5.0Nickolai, Kevin 1 RATINGS
4.9Nippert, Anna 5 RATINGS
4.5Nitsch, Kristian 2 RATINGS
4.3Nordin, Ronald 4 RATINGS
5.0Northington, Stephanie 1 RATINGS
4.6Novak, James 20 RATINGS
5.0O''Connor, Kenneth 1 RATINGS
4.1O'Leary, John 6 RATINGS
1.0Oczkowski, Michael 1 RATINGS
5.0Ong, Kiah 3 RATINGS
3.0Opara, Emmanuel 2 RATINGS
4.5Orgel, Joseph 17 RATINGS
4.1Oruklu, Erdal 17 RATINGS
1.3Oskouie, Ali 7 RATINGS
1.6Ostrogorsky, Aleksandar 7 RATINGS
3.3Pachan, Molly 4 RATINGS
3.2Paintal, Amreek 3 RATINGS
4.3Palmer, Tanya 2 RATINGS
N/APan, Tongyan 0 RATINGS
5.0Panchal, Jawahar 1 RATINGS
4.5Papachristos, Andrew 5 RATINGS
4.3Papademas, James 5 RATINGS
5.0Papademas, Katherine 1 RATINGS
4.9Papavasiliou, Georgia 6 RATINGS
5.0Pappademetriou, Vasilios 6 RATINGS
4.5Park, Weejin 1 RATINGS
N/AParrinello, Christopher 0 RATINGS
3.3Parulekar, Satish 7 RATINGS
1.7Paschal, William 3 RATINGS
N/APaschal, William 0 RATINGS
3.0Patel, Rahul 2 RATINGS
4.5Patton, Matt 2 RATINGS
2.4Pedret, Anne 6 RATINGS
2.8Pelsmajer, Michael 21 RATINGS
3.6Perez-Luna, Victor 4 RATINGS
4.5Perlini, Laurie 2 RATINGS
5.0Pervan, Boris 2 RATINGS
5.0Peters, Scott 3 RATINGS
2.0Peterson, Daiva 3 RATINGS
4.5Petrovic, Sonja 1 RATINGS
4.1Pettigrew, Paul 9 RATINGS
2.9Pinnello, Joseph 6 RATINGS
2.5Popescu, Mihail 1 RATINGS
4.0Power, Margaret 8 RATINGS
3.5Prakash, Jai 1 RATINGS
4.0Pugh, Ralph 5 RATINGS
4.8Pulliam, Greg 17 RATINGS
1.9Qian, Xioping 4 RATINGS
5.0Qing, Chang Zhong 2 RATINGS
N/AQuiroz, Juan 0 RATINGS
N/ARadutny, Vladimir 0 RATINGS
N/ARahnama, Farzad 0 RATINGS
4.8Raicu, Ioan 13 RATINGS
4.5Raju, Nambury 2 RATINGS
4.2Ram, Sapna 7 RATINGS
N/ARaman, Ganesh 0 RATINGS
4.3Ramani, Vijay 7 RATINGS
3.7Ramsden, Catherine 3 RATINGS
4.9Ratliff, Gayle 10 RATINGS
3.0Reingold, Edward 17 RATINGS
1.7Reiniger, Benjamin 10 RATINGS
3.2Rempfer, Dietmar 12 RATINGS
2.8Ren, Kui 2 RATINGS
3.6Ren, Shangping 5 RATINGS
N/ARice, Jeffery 0 RATINGS
4.1Riley, Ben 9 RATINGS
3.8Riley, Kathryn 2 RATINGS
4.0Roback, Andrew 1 RATINGS
4.5Roberson, Dennis 1 RATINGS
N/ARockey, Chris 0 RATINGS
3.0Rohter, Lawrence 9 RATINGS
5.0Rokop, Nik 1 RATINGS
1.4Roppo, Mike 4 RATINGS
5.0Rosen, Joseph 2 RATINGS
2.4Rubin, Howard 4 RATINGS
4.1Ruiz, Francisco 11 RATINGS
4.8Ruswick, Jannelle 2 RATINGS
2.3Ryan, Sue 3 RATINGS
5.0Sabbaghi, Navid 3 RATINGS
4.7Safar, Mazin 4 RATINGS
2.3Saha, Suman 8 RATINGS
3.1Saletta, Gerald 18 RATINGS
2.5Sancar, Feyza 1 RATINGS
3.2Saniie, Jafar 16 RATINGS
2.8Sasaki, Jim 32 RATINGS
4.2Savage, Devin 5 RATINGS
3.4Saxena, Mahima 8 RATINGS
4.3Scarlata, Val 5 RATINGS
2.5Schachman, Andrew 2 RATINGS
4.7Schalliol, David 9 RATINGS
3.3Schieber, Jay 5 RATINGS
4.1Schleser, Robert 8 RATINGS
4.0Schmaus, Warren 15 RATINGS
1.0Schug, Ken 1 RATINGS
4.4Scott, Hugh 5 RATINGS
4.0Scott, Anna 3 RATINGS
3.9Segerstrale, Ullica 10 RATINGS
4.0Segre, Carlo 5 RATINGS
3.8Shadden, Shawn 5 RATINGS
3.0Shahidehpoor, Mohammad 3 RATINGS
4.7Shamsuddin, Sheikh 6 RATINGS
3.7Shanechi, Mohamad Hassan Modir 22 RATINGS
3.6Shapiro, Matthew 4 RATINGS
2.0Sharma, Priyanka 2 RATINGS
1.0Shaw, Leon 1 RATINGS
5.0Shen, John 4 RATINGS
N/ASher, Tamara 0 RATINGS
3.8Shi, Jonathan 4 RATINGS
2.4Shive, Joseph 10 RATINGS
3.3Shylnov, Yurii 26 RATINGS
3.5Simko, Peter 2 RATINGS
3.4Sitton, Susan 21 RATINGS
4.1Slater, Bill 4 RATINGS
4.6Snapper, Jack 23 RATINGS
N/ASnopok, Pavel 0 RATINGS
3.4Snyder, Mark 15 RATINGS
3.3Spenko, Matthew 10 RATINGS
3.7Spentzouris, Linda 14 RATINGS
2.9Spink, Kathryn 32 RATINGS
4.5Srivastava, Ankit 3 RATINGS
4.6Stanard, Stephen 16 RATINGS
4.7Stark, Ben 20 RATINGS
2.0Stasi, Despina 1 RATINGS
3.8Steffenson, Rebecca 2 RATINGS
3.0stephens, brent 1 RATINGS
3.0Stolley, Karl 3 RATINGS
4.5Stueben, Edwin 4 RATINGS
4.1Sun, Jiong 14 RATINGS
N/ASuzuki, Kenji 0 RATINGS
4.0Takeuchi, Arthur 4 RATINGS
2.9Tanner, Martha 7 RATINGS
N/ATerry, Jeffrey 0 RATINGS
3.0Terschak, John 1 RATINGS
4.4Teufel, Thomas 5 RATINGS
4.1Teymour, Fouad 7 RATINGS
3.0Thompson, Kate 1 RATINGS
5.0Tichauer, Kenneth 1 RATINGS
4.0Tier, Charles 18 RATINGS
4.3Tijunelis, Donatas 2 RATINGS
4.5Tin, Sammy 3 RATINGS
4.5Tomal, Dan 2 RATINGS
N/ATorun, Yagmur 0 RATINGS
1.9Troyk, Phil 4 RATINGS
4.0Trygstad, Ray 7 RATINGS
5.0Turley, Christopher 1 RATINGS
3.0Tuz, Karina 3 RATINGS
3.5Twombly, John 20 RATINGS
2.5Ucci, Donald 12 RATINGS
4.0Unni, Aditya 5 RATINGS
3.3Vaccaro, Kevin 3 RATINGS
5.0Vanvliet, Ben 3 RATINGS
4.8Velenis, Dimitrios 3 RATINGS
3.6Venerus, David 10 RATINGS
2.6Veselinovic, Dusan 5 RATINGS
3.5Vural, Murat 8 RATINGS
4.5Wagman, Liad 4 RATINGS
2.9Wallace, Barbara 8 RATINGS
N/AWan, Peng Jun 0 RATINGS
2.2Wan, Pengjun 7 RATINGS
1.9Wang, Rong 18 RATINGS
4.0Wang, Jia 3 RATINGS
4.7Wark, Candice 7 RATINGS
4.8Watson, John 4 RATINGS
5.0Watson, Jeremy 1 RATINGS
3.7Weening, Frederick 25 RATINGS
4.0Weil, Vivian 1 RATINGS
4.6Weiss, Suzanne 12 RATINGS
3.3Welsh, Lee 3 RATINGS
4.5Wereszczynski, Jeff 1 RATINGS
N/AWernick, Miles 0 RATINGS
4.6White, Christopher 9 RATINGS
4.8Williamson, Geoffrey 11 RATINGS
2.4Winans, Vida 54 RATINGS
3.3Wong, Thomas 13 RATINGS
4.9Wu, Benxin 7 RATINGS
3.2Xiang, Jialing 5 RATINGS
4.6Xie, Xiaoxia (Jessica) 9 RATINGS
3.2Xu, Yang 3 RATINGS
5.0Yagoobi, Jamal 1 RATINGS
4.3Yang, Yongyi 6 RATINGS
3.0Yee, Wai Gen 2 RATINGS
3.8Yetik, Imam 2 RATINGS
2.4Yimer, Asmamaw 6 RATINGS
1.0YU, Cheng 2 RATINGS
4.0Zamorski, Stephanie 1 RATINGS
4.8Zasadzinski, John 14 RATINGS
5.0Zatirka, Brendon 3 RATINGS
4.0Zazi, George 47 RATINGS
3.3Zdunek, Alan 4 RATINGS
N/AZdunek, Ken 0 RATINGS
1.8Zhang, Chunbo 6 RATINGS
1.5Zhang, Yu-Zhu 3 RATINGS
1.3Zhang, Jun 2 RATINGS
3.5Zhang, Wei 1 RATINGS
4.3Zhou, Chi 2 RATINGS
4.1Zhou, John 4 RATINGS
4.0Zion, Benjamin 13 RATINGS
